頁面編號,國際證券編碼,有價證券代號,有價證券名稱,市場別,有價證券別,產業別,公開發行/上市(櫃)/發行日,CFICode,備註
 244 ,KYG0073G1091,6976,育世博-KY,興櫃 ,股票,生技醫療業,2023/08/08,ESVUFR,
 245 ,TW0006977002,6977,聯純,興櫃 ,股票,綠能環保,2023/09/25,ESVUFR,
 246 ,TW0006979008,6979,勝釩,興櫃 ,股票,光電業,2024/05/27,ESVUFR,
 247 ,TW0006980006,6980,鐳洋科技,興櫃 ,股票,通信網路業,2023/08/02,ESVUFR,
 248 ,TW0006982002,6982,大井泵浦,興櫃 ,股票,電機機械,2023/09/28,ESVUFR,
 249 ,TW0006983000,6983,華洋精機,興櫃 ,股票,其他電子業,2023/11/09,ESVUFR,
 250 ,TW0006984008,6984,交流資服,興櫃 ,股票,數位雲端,2023/10/20,ESVUFR,
 251 ,TW0006986003,6986,和迅,興櫃 ,股票,生技醫療業,2023/11/29,ESVUFR,
 252 ,TW0006990005,6990,華鉬,興櫃 ,股票,綠能環保,2023/11/16,ESVUFR,
 253 ,TW0006994007,6994,富威電力,興櫃 ,股票,綠能環保,2023/12/21,ESVUFR,
 254 ,TW0006996002,6996,力領科技,興櫃 ,股票,半導體業,2023/12/20,ESVUFR,
 255 ,TW0006997000,6997,博弘,興櫃 ,股票,數位雲端,2024/01/09,ESVUFR,
 256 ,TW0007419004,7419,達勝,興櫃 ,股票,電子零組件業,2019/09/25,ESVUFR,
 257 ,TW0007427007,7427,華上生醫,興櫃 ,股票,生技醫療業,2021/07/08,ESVUFR,
 258 ,TW0007443004,7443,凡事康,興櫃 ,股票,其他業,2016/02/15,ESVUFR,
 259 ,TW0007507B10,7507,環拓科技,興櫃 ,股票,綠能環保,2020/03/20,ESVUFR,
 260 ,TW0007516B19,7516,清淨海,興櫃 ,股票,其他業,2018/12/24,ESVUFR,
 261 ,TW0007530B11,7530,鋒魁科技,興櫃 ,股票,半導體業,2021/11/24,ESVUFR,
 262 ,TW0007547B12,7547,碩網,興櫃 ,股票,數位雲端,2021/02/03,ESVUFR,
