頁面編號,國際證券編碼,有價證券代號,有價證券名稱,市場別,有價證券別,產業別,公開發行/上市(櫃)/發行日,CFICode,備註
 236 ,TW0002941002,2941,米斯特,上櫃 ,股票,居家生活,2024/03/20,ESVUFR,
 237 ,TW0002947009,2947,振宇五金,上櫃 ,股票,居家生活,2021/10/06,ESVUFR,
 238 ,TW0002948007,2948,寶陞,上櫃 ,股票,居家生活,2023/12/12,ESVUFR,
 239 ,TW0002949005,2949,欣新網,上櫃 ,股票,數位雲端,2023/12/15,ESVUFR,
 240 ,TW0003006102,30061,晶豪科一,上櫃 ,轉換公司債,,2023/10/27,DCZUGR,
 241 ,TW0003010302,30103,華立三,上櫃 ,轉換公司債,,2021/08/24,DCZUGR,
 242 ,TW0003013306,30133,晟銘電三,上櫃 ,轉換公司債,,2023/11/16,DCZSGR,
 243 ,TW0003016408,30164,嘉晶四,上櫃 ,轉換公司債,,2022/03/29,DCZUFR,
 244 ,TW0003018404,30184,隆銘綠能四,上櫃 ,轉換公司債,,2021/09/16,DCZSDR,
 245 ,TW0003023800,30238,信邦八,上櫃 ,轉換公司債,,2022/12/12,DCZUDR,
 246 ,TW0003028403,30284,增你強四,上櫃 ,轉換公司債,,2021/08/03,DCZUGR,
 247 ,TW0003033601,30336,威健六,上櫃 ,轉換公司債,,2022/06/01,DCZUDR,
 248 ,TW0003042503,30425,晶技五,上櫃 ,轉換公司債,,2021/07/26,DCZUGR,
 249 ,TW0003047700,30477,訊舟七,上櫃 ,轉換公司債,,2021/03/30,DCZSDR,
 250 ,TW0003064002,3064,泰偉,上櫃 ,股票,文化創意業,2004/06/09,ESVUFR,
 251 ,TW0003066007,3066,李洲,上櫃 ,股票,光電業,2004/12/02,ESVUFR,
 252 ,TW0003067005,3067,全域,上櫃 ,股票,其他電子業,2003/10/21,ESVUFR,
 253 ,TW0003071007,3071,協禧,上櫃 ,股票,電腦及週邊設備業,2004/12/30,ESVUFR,
 254 ,TW0003073003,3073,天方能源,上櫃 ,股票,綠能環保,2007/10/08,ESVUFR,
 255 ,TW0003078002,3078,僑威,上櫃 ,股票,電子零組件業,2005/01/31,ESVUFR,
 256 ,TW0003081006,3081,聯亞,上櫃 ,股票,通信網路業,2015/07/22,ESVUFR,
 257 ,TW0003083002,3083,網龍,上櫃 ,股票,文化創意業,2003/12/02,ESVUFR,
 258 ,TW0003085007,3085,新零售,上櫃 ,股票,數位雲端,2004/03/01,ESVUFR,
 259 ,TW0003086005,3086,華義,上櫃 ,股票,文化創意業,2004/03/29,ESVUFR,
